[2026-07-07 12:30:24] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_227 - Track ID: 56 - Width: 2.919mm, Length: 26.6mm - Trigger Reason: Width 2.919mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:27] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_243 - Track ID: 57 - Width: 2.690mm, Length: 21.6mm - Trigger Reason: Width 2.690mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:27] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_243 - Track ID: 58 - Width: 2.850mm, Length: 24.4mm - Trigger Reason: Width 2.850mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:27] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_243 - Track ID: 59 - Width: 2.955mm, Length: 28.0mm - Trigger Reason: Width 2.955mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:27] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_243 - Track ID: 60 - Width: 2.590mm, Length: 26.8mm - Trigger Reason: Width 2.590mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:27] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_245 - Track ID: 61 - Width: 2.735mm, Length: 26.7mm - Trigger Reason: Width 2.735mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:32:59] ALERT LEVEL_3 (Level 3) - Frame ID: test_input.jpg - Track ID: 1 - Width: 2.929mm, Length: 60.0mm - Trigger Reason: Width 2.929mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:00] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_1 - Track ID: 2 - Width: 2.265mm, Length: 6.2mm - Trigger Reason: Width 2.265mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:00] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_1 - Track ID: 3 - Width: 3.071mm, Length: 16.9mm - Trigger Reason: Width 3.071mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:00] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_1 - Track ID: 5 - Width: 2.770mm, Length: 20.3mm - Trigger Reason: Width 2.770mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:00] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_1 - Track ID: 6 - Width: 1.654mm, Length: 6.5mm - Trigger Reason: Width 1.654mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:00] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_2 - Track ID: 7 - Width: 2.794mm, Length: 27.2mm - Trigger Reason: Width 2.794mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:00] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_3 - Track ID: 9 - Width: 1.857mm, Length: 5.5mm - Trigger Reason: Width 1.857mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
